CYP_allele,Vm,Vm_std,Km,Km_std
CYP3A4_2,10.3,0.2,321,0.8
CYP3A4_3,2.5,0.1,51,1.7
CYP3A4_4,5.7,1.9,94,48.5
CYP3A4_5,2.9,0.1,129,1.6
CYP3A4_7,1.6,0,59,5.9
CYP3A4_8,1.8,0.1,324,18.3
CYP3A4_9,2.4,0.1,59,1.5
CYP3A4_10,2.1,0.1,41,4.2
CYP3A4_11,14.5,0.5,91,8.4
CYP3A4_12,1.2,0,216,0.7
CYP3A4_13,0.8,0,60,2.3
CYP3A4_14,1.9,0,38,1.1
CYP3A4_15,4.5,0.3,16,0.7
CYP3A4_16,1.6,0.1,29,7.3
CYP3A4_17,1,0.2,328,106.1
CYP3A4_18,1.7,0,45,1.1
CYP3A4_19,3.2,0,34,2.6
CYP3A4_20,1.9,0.1,227,42.5
CYP3A4_21,1.6,0.1,303,30.5
CYP3A4_23,2.3,0.1,29,0.1
CYP3A4_24,2.2,0.1,42,3.7
CYP3A4_28,2.4,0.1,11,0.7
CYP3A4_29,8.2,0.5,12,0.5
CYP3A4_31,2.1,0.2,18,6.6
CYP3A4_32,4,0.3,25,2.1
CYP3A4_33,1.4,0,18,4.4
CYP3A4_34,2.9,0,12,2.9